itemNumber	string	score	depth	hierarchy
75635720	voedingsmiddelen	11	1	voedingsmiddelen
75666316	echografie	11	3	geneeskunde
75665913	zwaartekracht	11	2	natuurkunde
75620596	reuma	11	1	reuma
75619792	psychosen	11	2	psychiatrie
75622068	sociale psychologie	11	3	sociale wetenschappen
101873360	organisatiesociologie	11	3	sociale wetenschappen
75627361	wetenschappelijk onderwijs	11	3	onderwijs
159340721	lichttherapie	11	2	therapieën
75660695	landbouwproducten	11	4	economie
75688409	traumatologie	11	3	geneeskunde
75601451	bloedsomloop	11	1	bloedsomloop
75660784	leerprocessen	11	2	onderwijskunde
252310012	preventieve gezondheidszorg	11	2	gezondheidszorg
75630567	ethiopië	11	1	ethiopië
122341686	coatings	11	1	coatings
75611910	kippen	11	6	economie
75621940	sociaal-wetenschappelijk onderzoek	11	2	sociale wetenschappen
75612860	kustgebieden	11	1	kustgebieden
07566643x	rivieren	11	1	rivieren
75627965	zaadplanten	11	2	planten
75628503	zintuigfysiologie	11	2	fysiologie
75648768	hersenen	11	1	hersenen
75615541	mobiele communicatie	11	2	communicatie
07566495x	vliegen (biologie)	11	5	dieren
182475743	tektoniek	11	3	natuurwetenschappen
75656892	antigenen	11	2	immunologie
75660709	landinrichting	11	3	techniek
75624265	toerisme	11	1	toerisme
75663104	procesbesturing	11	1	procesbesturing
75618869	plattelandssamenleving	11	2	maatschappij
194449335	nierdialyse	10	2	nier(ziekten)
07563841x	bodemkunde	10	1	bodemkunde
75622793	stadsplanologie	10	3	ruimtelijke ordening
203379888	data mining	10	3	bestandsorganisatie
75615355	migraine	10	3	pijn(bestrijding)
89406516	echocardiografie	10	3	geneeskunde
75601575	bodemverontreiniging	10	2	milieuverontreiniging
75603772	dementie	10	2	ziekteleer
75598833	algebra	10	2	wiskunde
07559854x	ademhalingsorganen	10	1	ademhalingsorganen
242233414	zwangerschapshypertensie	10	2	zwangerschap
75623226	strafrecht	10	2	recht
07565976x	hoge-energiefysica	10	2	natuurkunde
75662604	overheidsorganisatie	10	1	overheidsorganisatie
75617463	openbaar vervoer	10	2	vervoer
75659638	grondmechanica	10	3	natuurkunde
75620308	regeltechniek	10	2	techniek
75623544	taalverwerving	10	1	taalverwerving
75599791	astronomie	10	1	astronomie
