brinkey label	brinkey ppn	brinkey ppn hierarchy	hierarchy depth
Ramplaankwartier (Haarlem)	357496523	075632705,075632861,075631105,357496523	4
Slachthuisbuurt (Haarlem)	333588207	075632705,075632861,075631105,333588207	4
Zuiderhout (Haarlem)	392128888	075632705,075632861,075631105,392128888	4
De Heiliglanden (Haarlem)	271254866	075632705,075632861,075631105,271254866	4
De Kamp (Haarlem)	271254874	075632705,075632861,075631105,271254874	4
Koninginnebuurt (Haarlem)	332030989	075632705,075632861,075631105,332030989	4
Garenkokerskwartier (Haarlem)	353462284	075632705,075632861,075631105,353462284	4
Haarlemmermeer	075631121	075632705,075632861,075631121	3
Ilpendam	075631199	075632705,075632861,075631199	3
Jisp	075631377	075632705,075632861,075631377	3
Hazepolder	075631385	075632705,075632861,075631385	3
Heemstede	075631407	075632705,075632861,075631407	3
Groenendaal (Heemstede)	363563318	075632705,075632861,075631407,363563318	4
Hekelingen	075631466	075632705,075632861,075631466	3
Den Helder	075631482	075632705,075632861,075631482	3
Nieuw Den Helder (Den Helder)	398401233	075632705,075632861,075631482,398401233	4
Kalf (NH)	075631504	075632705,075632861,075631504	3
Hilversum	075631717	075632705,075632861,075631717	3
Hilversumse Meent (Hilversum)	323868991	075632705,075632861,075631717,323868991	4
Kerkelanden (Hilversum)	410755559	075632705,075632861,075631717,410755559	4
Sint Pancras	075633914	075632705,075632861,075633914	3
Volendam	075634163	075632705,075632861,075634163	3
IJmuiden	075634341	075632705,075632861,075634341	3
Zaandam	075634392	075632705,075632861,075634392	3
Russische Buurt (Zaandam)	370527151	075632705,075632861,075634392,370527151	4
Zaandijk	075634414	075632705,075632861,075634414	3
Waterland	075634422	075632705,075632861,075634422	3
Weesp	075634430	075632705,075632861,075634430	3
Zaanstreek	075634449	075632705,075632861,075634449	3
Zeevang	075634538	075632705,075632861,075634538	3
Beverwijk	075636417	075632705,075632861,075636417	3
Oosterwijk (Beverwijk)	336259719	075632705,075632861,075636417,336259719	4
Akerendam	380173395	075632705,075632861,075636417,380173395	4
De Meer (Beverwijk)	338348441	075632705,075632861,075636417,338348441	4
Santpoort	075636530	075632705,075632861,075636530	3
Oude Niedorp	075636948	075632705,075632861,075636948	3
Wieringen	075637049	075632705,075632861,075637049	3
Westzaan	075639270	075632705,075632861,075639270	3
Texel	075639394	075632705,075632861,075639394	3
Polder Waal en Burg	308017323	075632705,075632861,075639394,308017323	4
Edam	075641801	075632705,075632861,075641801	3
Nieuw-Vennep	075641860	075632705,075632861,075641860	3
Abbenes	075641879	075632705,075632861,075641879	3
Uithoorn	075641917	075632705,075632861,075641917	3
De Banken	301825394	075632705,075632861,075641917,301825394	4
De Kwakel	075641925	075632705,075632861,075641925	3
Rijk	075641941	075632705,075632861,075641941	3
Spaarndam	07564195X	075632705,075632861,07564195X	3
Wervershoof	075642557	075632705,075632861,075642557	3
Heiloo	075642670	075632705,075632861,075642670	3
De Driestal (Heiloo)	277334063	075632705,075632861,075642670,277334063	4
Lutjebroek	075632292	075632705,075632861,075632292	3
Nederhorst den Berg	075632691	075632705,075632861,075632691	3
Zijpe	075634813	075632705,075632861,075634813	3
Velsen	075637251	075632705,075632861,075637251	3
Wijkeroogpark (Velsen)	337156999	075632705,075632861,075637251,337156999	4
Enkhuizen	075637359	075632705,075632861,075637359	3
Naarden	075637464	075632705,075632861,075637464	3
Oranje Nassaupark (Naarden)	409112356	075632705,075632861,075637464,409112356	4
Bennebroek	075637928	075632705,075632861,075637928	3
Heerhugowaard	07563807X	075632705,075632861,07563807X	3
De Draai (Heerhugowaard)	263132633	075632705,075632861,07563807X,263132633	4
