itemNumber	string	score	depth	hierarchy_1	hierarchy_2	hierarchy_3	hierarchy_4	hierarchy_5
75601303	biofysica	11	2	natuurkunde	biofysica			
75635720	voedingsmiddelen	11	1	voedingsmiddelen				
75666316	echografie	11	3	geneeskunde	diagnostiek	echografie		
75665913	zwaartekracht	11	2	natuurkunde	zwaartekracht			
75620596	reuma	11	1	reuma				
75619792	psychosen	11	2	psychiatrie	psychosen			
75622068	sociale psychologie	11	3	sociale wetenschappen	psychologie	sociale psychologie		
101873360	organisatiesociologie	11	3	sociale wetenschappen	sociologie	organisatiesociologie		
75627361	wetenschappelijk onderwijs	11	3	onderwijs	hoger onderwijs	wetenschappelijk onderwijs		
159340721	lichttherapie	11	2	therapieën	lichttherapie			
75660695	landbouwproducten	11	4	economie	agrosector	landbouw	landbouwproducten	
75688409	traumatologie	11	3	geneeskunde	chirurgie	traumatologie		
75601451	bloedsomloop	11	1	bloedsomloop				
75660784	leerprocessen	11	2	onderwijskunde	leerprocessen			
252310012	preventieve gezondheidszorg	11	2	gezondheidszorg	preventieve gezondheidszorg			
75630567	ethiopië	11	1	ethiopië				
122341686	coatings	11	1	coatings				
75611910	kippen	11	6	economie	agrosector	landbouw	veehouderij	pluimvee(houderij)
75621940	sociaal-wetenschappelijk onderzoek	11	2	sociale wetenschappen	sociaal-wetenschappelijk onderzoek			
75612860	kustgebieden	11	1	kustgebieden				
07566643x	rivieren	11	1	rivieren				
75627965	zaadplanten	11	2	planten	zaadplanten			
75628503	zintuigfysiologie	11	2	fysiologie	zintuigfysiologie			
75648768	hersenen	11	1	hersenen				
75615541	mobiele communicatie	11	2	communicatie	mobiele communicatie			
07566495x	vliegen (biologie)	11	5	dieren	ongewervelde dieren	geleedpotige dieren	insecten	vliegen (biologie)
182475743	tektoniek	11	3	natuurwetenschappen	geologie	tektoniek		
75656892	antigenen	11	2	immunologie	antigenen			
75660709	landinrichting	11	3	techniek	cultuurtechniek	landinrichting		
75624265	toerisme	11	1	toerisme				
75663104	procesbesturing	11	1	procesbesturing				
75618869	plattelandssamenleving	11	2	maatschappij	plattelandssamenleving			
194449335	nierdialyse	10	2	nier(ziekten)	nierdialyse			
07563841x	bodemkunde	10	1	bodemkunde				
75622793	stadsplanologie	10	3	ruimtelijke ordening	planologie	stadsplanologie		
203379888	data mining	10	3	bestandsorganisatie	databanken	data mining		
75615355	migraine	10	3	pijn(bestrijding)	hoofdpijn	migraine		
89406516	echocardiografie	10	3	geneeskunde	diagnostiek	echocardiografie		
75601575	bodemverontreiniging	10	2	milieuverontreiniging	bodemverontreiniging			
75603772	dementie	10	2	ziekteleer	dementie			
75598833	algebra	10	2	wiskunde	algebra			
07559854x	ademhalingsorganen	10	1	ademhalingsorganen				
242233414	zwangerschapshypertensie	10	2	zwangerschap	zwangerschapshypertensie			
75623226	strafrecht	10	2	recht	strafrecht			
07565976x	hoge-energiefysica	10	2	natuurkunde	hoge-energiefysica			
75662604	overheidsorganisatie	10	1	overheidsorganisatie				
75617463	openbaar vervoer	10	2	vervoer	openbaar vervoer			
75659638	grondmechanica	10	3	natuurkunde	mechanica	grondmechanica		
75620308	regeltechniek	10	2	techniek	regeltechniek			
75623544	taalverwerving	10	1	taalverwerving				
75599791	astronomie	10	1	astronomie				
75680068	landbouwkundig onderzoek	10	2	wetenschappelijk onderzoek	landbouwkundig onderzoek			
75614502	magnetisme	10	2	natuurkunde	magnetisme			
174684134	aandachtstekortstoornis (met hyperactiviteit)	10	3	psychiatrie	gedragsstoornissen	aandachtstekortstoornis (met hyperactiviteit)		
75603195	computertoepassingen	10	1	computertoepassingen				
75665611	wormen	10	3	dieren	ongewervelde dieren	wormen		
75608243	granen	10	2	voedingsmiddelen	granen			
75665239	waterhuishouding	10	1	waterhuishouding				
75598922	duurzame energie	10	2	energie	duurzame energie			
75683245	wiskundige analyse	10	2	wiskunde	wiskundige analyse			
75663325	regionale economie	10	2	economie	regionale economie			
75608324	griep	10	3	ziekteleer	infectieziekten	griep		
75622653	spijsverteringsorganen	10	1	spijsverteringsorganen				
75615037	metaalkunde	10	1	metaalkunde				
75615134	methodologie	10	1	methodologie				
75626950	waterverontreiniging	10	2	milieuverontreiniging	waterverontreiniging			
26164419x	celdood	10	3	biologie	celbiologie	celdood		
75615274	microscopie	10	1	microscopie				
75622696	staalconstructies	10	3	techniek	bouwtechniek	staalconstructies		
75620715	roken	10	2	verslaving	roken			
75614898	meetinstrumenten	10	1	meetinstrumenten				
75656493	aansprakelijkheid	10	1	aansprakelijkheid				
07560731x	geofysica	10	2	natuurkunde	geofysica			
75598590	adolescentie	10	4	sociale wetenschappen	psychologie	ontwikkelingspsychologie	adolescentie	
75658933	etnische groepen ; nederland	10	3	antropologie	culturele antropologie	etnische groepen ; nederland		
75657341	beendergestel	10	4	antropologie	antropobiologie	menskunde	beendergestel	
163824193	duurzaam bouwen	10	2	bouwkunde	duurzaam bouwen			
75642662	oeganda	10	1	oeganda				
90642074	magnetische materialen	9	2	metalen	magnetische materialen			
75658283	computerlinguïstiek	9	2	taalwetenschap	computerlinguïstiek			
75657686	biometrie	9	1	biometrie				
158564022	psychofysiologie	9	3	sociale wetenschappen	psychologie	psychofysiologie		
298060728	barrett-oesofagus	9	3	geneeskunde	gastro-enterologie	barrett-oesofagus		
75624737	tuberculose	9	3	ziekteleer	infectieziekten	tuberculose		
07568473x	ziekte van alzheimer	9	2	ziekteleer	ziekte van alzheimer			
75663880	spierstelsel	9	1	spierstelsel				
75658321	computersystemen	9	1	computersystemen				
24182625x	ontwikkelingsbiologie	9	2	biologie	ontwikkelingsbiologie			
75661144	mathematische programmering	9	1	mathematische programmering				
07566089x	lineaire programmering	9	2	mathematische programmering	lineaire programmering			
243146582	materiaalmoeheid	9	2	materialenkennis	materiaalmoeheid			
291493238	lactococcen	9	2	bacteriën	lactococcen			
75663422	rijstbouw	9	4	economie	agrosector	landbouw	rijstbouw	
75600447	bedrijfsorganisatie	9	2	organisatieleer	bedrijfsorganisatie			
75600943	beton	9	3	materialenkennis	bouwmaterialen	beton		
292486073	lymfocyten	9	3	hematologie	bloed	lymfocyten		
75658666	econometrische modellen	9	1	econometrische modellen				
75664186	systeemontwikkeling (informatica)	9	3	technologie	informatietechnologie	systeemontwikkeling (informatica)		
75663732	kleur- en smaakstoffen	9	4	technologie	voedingsmiddelentechnologie	voedingsadditieven	kleur- en smaakstoffen	
75657228	bedrijfsinnovatie	9	2	innovatie	bedrijfsinnovatie			
75616491	netwerkplanning	9	2	organisatieleer	netwerkplanning			
75665786	ziektekosten	9	1	ziektekosten				
237788888	stamceltransplantatie	9	2	hematologie	stamceltransplantatie			
75660008	innovatie	9	1	innovatie				
75664623	vaste-stoffysica	9	2	natuurkunde	vaste-stoffysica			
75615908	multinationale ondernemingen	9	2	ondernemingen	multinationale ondernemingen			
75640066	tanzania	9	1	tanzania				
75600234	bankwezen	9	3	economie	financiële markten	bankwezen		
75618311	patiënten	9	1	patiënten				
18332689x	china ; economie	9	2	china	china ; economie			
75654415	dierproeven	9	1	dierproeven				
75663090	privacy	9	2	grondrechten	privacy			
75672782	cad/cam	9	2	computergraphics	cad/cam			
188708510	west-afrika	9	2	afrika	west-afrika			
75603454	corrosie	9	1	corrosie				
75642654	zimbabwe	9	1	zimbabwe				
